1,Estado de México,16992418,15175862,13096686,9815795,7564335,3833185,1897851,1392623,1146340,990112,884617,989510
2,Ciudad de México,9209944,8851080,8605239,8235744,8831079,6874165,4870876,3050442,1757530,1229576,906063,720753
3,Jalisco,8348151,6322002,5302689,4371998,3296586,2443261,1746777,1418310,1255346,1191957,1208855,1137311
4,Veracruz,8062579,6908975,6228239,5387680,3815422,2727899,2040231,1619338,1377293,1159935,1132859,960570
5,Puebla,6583278,5076686,4126101,3347685,2508226,1973837,1625830,1294620,1150425,1024955,1101600,1024446
6,Guanajuato,6166934,4663032,3982593,3006110,2270370,1735490,1328712,1046490,987801,860364,1081651,1065317
7,Nuevo León,5784442,3834141,3098736,2513044,1694689,1078848,740191,541147,417491,336412,365150,326940
8,Chiapas,5543828,3920892,3210496,2084717,1569053,1210870,907026,679885,529983,421744,438843,363607
9,Michoacán,4748846,3985667,3548199,2868824,2324226,1851876,1422717,1182003,1048381,939849,991880,935849
10,Oaxaca,4132148,3438765,3019560,2369076,2015424,1727266,1421313,1192794,1084549,976005,1040398,947910
11,Baja California,3769020,2487367,1660855,1177886,870421,520165,226965,78907,48327,23537,9760,7581
12,Chihuahua,3741869,3052907,2441873,2005477,1612525,1226793,846414,623944,491792,401622,405707,327004
13,Guerrero,3540685,3079649,2620637,2109513,1597360,1186716,919386,732910,641690,566836,593278,474594
14,Tamaulipas,3527735,2753222,2249581,1924484,1456858,1024182,718167,458832,344039,286904,249641,218948
15,Coahuila,3146771,2298070,1972340,1557265,1114956,907734,720619,550717,436425,393480,362092,280899
16,Hidalgo,3082841,2235591,1888366,1547493,1193845,994598,850394,771818,677772,622241,646551,603074
17,Sinaloa,3026943,2536844,2204054,1849879,1266528,838404,635681,492821,395618,341265,323642,296109
18,Sonora,2944840,2216969,1823606,1513731,1098720,783378,510607,364176,316271,275127,265383,220553
19,San Luis Potosí,2822255,2299360,2003187,1673893,1281996,1048297,856066,678779,579831,445681,627800,582486
20,Tabasco,2402598,1891829,1501744,1062961,768327,496340,362716,285630,224023,210437,187574,158107
21,Querétaro,2368467,1404306,1051235,739605,485523,355045,286238,244737,234058,220231,244663,228489
22,Yucatán,2320898,1658210,1362940,1063733,758355,614049,516899,418210,386096,358221,339613,312264
23,Morelos,1971520,1555296,1195059,947089,616119,386264,272842,182711,132068,103440,179594,161697
24,Quintana Roo,1857985,874963,493277,225985,88150,50169,26967,18752,10620,10966,9109,0
25,Durango,1832650,1448661,1349378,1182320,939208,760836,629874,483829,404364,336766,483175,371274
26,Zacatecas,1622138,1353610,1276323,1136830,951462,817831,665524,565437,459047,379329,477556,462886
27,Aguascalientes,1425607,944285,719659,519439,338142,243363,188075,161693,132900,107581,120511,101910
28,Tlaxcala,1342977,962646,761277,556597,420638,346699,284551,224063,205458,178570,184171,172217
29,Nayarit,1235456,920185,824643,726120,544031,389929,290124,216698,167724,162499,171173,149677
30,Campeche,928363,690689,535185,420553,251556,168219,122098,90460,84630,76419,86661,84281
31,Baja California Sur,798447,424041,317764,215139,128019,81594,60864,51471,47089,39294,42512,39501
32,Colima,731391,542627,428510,346293,241153,164450,112321,78806,61923,91749,77704,65026
